spine;title;img;director;country;year;link
319;The Bad Sleep Well;https://s3.amazonaws.com/criterion-production/films/4c98b16aad002b6f4e9edf0e63d42406/Pk4xUf3hPeb3bakmQm69237kn0XfQ9_thumbnail.jpg;Akira Kurosawa;Japan;1960;https://www.criterion.com/films/765-the-bad-sleep-well
320;Young Mr. Lincoln;https://s3.amazonaws.com/criterion-production/films/496b3eb80993646a4767cf95a924582a/RBaE1DWa6XGV5DLWc4PrervcjpdC94_thumbnail.jpg;John Ford;United States;1939;https://www.criterion.com/films/766-young-mr-lincoln
321;The Virgin Spring;https://s3.amazonaws.com/criterion-production/films/801e84275fd24d65ca5c0f42aac9d3e6/7Cd0pGdJRCLCu2KTtuANf8lBDlSPbs_thumbnail.jpg;Ingmar Bergman;Sweden;1960;https://www.criterion.com/films/372-the-virgin-spring
322;The Complete Mr. Arkadin;https://s3.amazonaws.com/criterion-production/films/a6ecf6ce388664b85c728537cf920661/6kz63rtLVW85LWGxlBQptAJLbOfcws_thumbnail.jpg;Orson Welles;France;1955;https://www.criterion.com/films/767-the-complete-mr-arkadin
323;The Children Are Watching Us;https://s3.amazonaws.com/criterion-production/films/23cee21c226c25b9177dc10418f8bc0c/DxYliw03F7GOEA3Lkv7fyxHrGyDUnK_thumbnail.jpg;Vittorio De Sica;Italy;1944;https://www.criterion.com/films/772-the-children-are-watching-us
324;La bête humaine;https://s3.amazonaws.com/criterion-production/films/456aa86ccbb3e2bfd9f72ddcbaeeacec/kSgP1xkaTvYm2ZbzJp7Sv7F2UIEpCZ_thumbnail.jpg;Jean Renoir;France;1938;https://www.criterion.com/films/773-la-bete-humaine
325;Kind Hearts and Coronets;https://s3.amazonaws.com/criterion-production/films/71ccf81f079936cad976970ce1634a8f/avL3ylJaBubkkJJaUx9n5PESLaVmQX_thumbnail.jpg;Robert Hamer;United Kingdom;1949;https://www.criterion.com/films/357-kind-hearts-and-coronets
326;Metropolitan;https://s3.amazonaws.com/criterion-production/films/a4030fd0d405faa565150a8bd8614425/MMVDGYzCcqxhnhCe4gPzo36yLJp9aq_thumbnail.jpg;Whit Stillman;United States;1990;https://www.criterion.com/films/774-metropolitan
327;3 Films by Louis Malle;https://s3.amazonaws.com/criterion-production/product_images/1877-48de0a1fa166375e5c29008f57be3a14/rbztsW1GKvPEC5vTna3sbQdpYeG9Ro_small.jpg; ;; ;https://www.criterion.com/boxsets/397-3-films-by-louis-malle
328;Murmur of the Heart;https://s3.amazonaws.com/criterion-production/films/a43b1ee7888d6cbc167f3abb0972f03c/wZlRdUxIiRcFh1eJE8P6B88htgjAQP_thumbnail.jpg;Louis Malle;France;1971;https://www.criterion.com/films/775-murmur-of-the-heart
